pair,direction,entry_date,exit_date,holding_days,return
CVX-XOM,-1,2019-05-28,2019-07-03,36,0.003610314230447109
BAC-JPM,1,2019-05-31,2019-07-03,33,0.011122147394641901
PG-WMT,-1,2019-01-30,2019-03-14,43,-0.015524350735684145
PG-WMT,-1,2019-03-21,2019-05-03,43,-0.007604091502183774
PG-WMT,-1,2019-05-10,2019-06-24,45,0.013127560967078455
PG-WMT,-1,2019-07-01,2019-07-03,2,-0.009685761300571638
AAPL-MSFT,1,2019-01-04,2019-02-19,46,0.043646424894651314
AAPL-MSFT,1,2019-02-26,2019-04-09,42,0.03732150693485603
AAPL-MSFT,1,2019-04-16,2019-05-16,30,-0.05609041676042115
AAPL-MSFT,1,2019-05-23,2019-05-24,1,-0.0033580245240469875
AAPL-MSFT,1,2019-06-03,2019-06-04,1,0.0032400892696875516
AAPL-MSFT,1,2019-06-11,2019-06-12,1,-0.0004823477896150896
AAPL-MSFT,1,2019-06-19,2019-06-20,1,-0.001825014941690295
AAPL-MSFT,1,2019-06-27,2019-06-28,1,-0.005047927500825167
AAPL-NVDA,-1,2019-01-30,2019-03-14,43,0.04014320931585469
AAPL-NVDA,-1,2019-04-18,2019-06-03,46,-0.08323920420749342
AAPL-NVDA,-1,2019-06-10,2019-07-03,23,0.016284275530631165
CVX-XOM,-1,2019-07-16,2019-08-27,42,-0.023686342565985896
CVX-XOM,-1,2019-09-04,2019-10-16,42,-5.083178522313769e-05
CVX-XOM,-1,2019-10-23,2019-12-05,43,-0.0028625224804949
CVX-XOM,-1,2019-12-12,2020-01-02,21,-0.008052726935791843
BAC-JPM,1,2019-09-06,2019-10-18,42,0.006079938325557421
BAC-JPM,1,2019-10-28,2019-12-10,43,-0.0031698190872230247
PG-WMT,-1,2019-07-30,2019-09-11,43,0.015376106817093893
TGT-WMT,-1,2019-08-22,2019-10-04,43,0.012113933594044113
TGT-WMT,-1,2019-10-14,2019-11-20,37,-0.07409587699940157
TGT-WMT,-1,2019-11-27,2019-11-29,2,0.003723759604367327
TGT-WMT,-1,2019-12-06,2019-12-09,3,-0.008631856591280518
TGT-WMT,-1,2019-12-16,2019-12-17,1,-0.007736528255282149
TGT-WMT,-1,2019-12-24,2019-12-26,2,-0.0024805484281016366
GOOGL-META,1,2019-07-08,2019-08-19,42,0.06145645126591992
AAPL-NVDA,-1,2019-10-11,2019-11-22,42,0.009190994904574534
AAPL-NVDA,-1,2019-12-02,2020-01-02,31,0.0026275806395865686
BAC-JPM,1,2020-02-26,2020-04-08,42,0.013920005725646112
CVX-XOM,-1,2020-02-11,2020-03-18,36,0.02269852353921098
CVX-XOM,-1,2020-03-26,2020-05-08,43,-0.03037812117097327
CVX-XOM,-1,2020-05-15,2020-06-29,45,0.02935401974919305
PG-WMT,-1,2020-01-15,2020-02-28,44,0.014322611280823683
PG-WMT,1,2020-03-18,2020-03-20,2,-0.0334445621782421
PG-WMT,1,2020-04-01,2020-04-22,21,-0.028381985653123776
PG-WMT,1,2020-04-29,2020-05-19,20,-0.028559530570260394
PG-WMT,1,2020-05-27,2020-06-18,22,0.04155350922737422
MSFT-NVDA,1,2020-02-14,2020-03-30,45,-0.044731712950002445
MSFT-NVDA,1,2020-04-06,2020-05-11,35,-0.03521994862408506
MSFT-NVDA,1,2020-05-18,2020-05-19,1,-0.007818351201072105
MSFT-NVDA,1,2020-05-27,2020-05-28,1,-8.421704973748945e-05
MSFT-NVDA,1,2020-06-04,2020-06-05,1,0.0017442826935232247
MSFT-NVDA,1,2020-06-12,2020-06-15,3,-0.011508074262431167
MSFT-NVDA,1,2020-06-22,2020-06-23,1,0.006168698469091627
MSFT-NVDA,1,2020-06-30,2020-07-01,1,2.6173922731409505e-05
AAPL-NVDA,-1,2020-01-29,2020-02-14,16,0.08349730133414712
AAPL-NVDA,1,2020-02-28,2020-03-13,14,0.06521391464104398
AAPL-NVDA,1,2020-03-24,2020-05-06,43,0.0013763610885777489
AAPL-NVDA,1,2020-05-13,2020-05-15,2,-0.045412393294398834
AAPL-NVDA,1,2020-05-22,2020-05-26,4,0.012502504891430233
AAPL-NVDA,1,2020-06-02,2020-06-03,1,0.0047112830522788585
AAPL-NVDA,1,2020-06-10,2020-06-11,1,0.005248082104531315
AAPL-NVDA,1,2020-06-18,2020-06-19,1,-0.006403326766401429
AAPL-NVDA,1,2020-06-26,2020-06-30,4,-0.004262283372244213
GOOGL-META,1,2020-05-22,2020-07-02,41,0.018277527098426782
PG-TGT,1,2020-05-11,2020-06-23,43,-0.0008002912766029713
BAC-JPM,1,2020-07-16,2020-07-28,12,0.02182020185906408
BAC-JPM,1,2020-10-14,2020-11-23,40,-0.00804624984899982
BAC-JPM,1,2020-12-01,2020-12-31,30,-0.0003884473654625076
PG-WMT,1,2020-11-19,2020-12-31,42,0.02256069603182498
CVX-XOM,-1,2020-07-22,2020-09-02,42,-0.0069847667814905146
CVX-XOM,-1,2020-11-10,2020-12-23,43,0.0396429875914881
GOOGL-META,1,2020-08-06,2020-09-18,43,0.0021957761984681134
GOOGL-META,1,2020-09-25,2020-11-06,42,0.024813294536376596
AAPL-MSFT,-1,2020-07-14,2020-07-31,17,-0.056783152420224026
AAPL-MSFT,-1,2020-08-07,2020-08-10,3,-0.018421232886020822
AAPL-MSFT,-1,2020-08-17,2020-08-18,1,-0.002489295057865659
AAPL-MSFT,-1,2020-08-25,2020-08-26,1,0.002810320981937897
AAPL-MSFT,-1,2020-09-02,2020-09-03,1,0.007857043372942796
AAPL-MSFT,-1,2020-09-11,2020-09-14,3,-0.012818124603426462
AAPL-MSFT,-1,2020-09-21,2020-09-22,1,0.002989213736436014
AAPL-MSFT,-1,2020-09-29,2020-09-30,1,-0.001331739984897773
AAPL-MSFT,-1,2020-10-07,2020-10-08,1,0.0010652153709427292
AAPL-MSFT,-1,2020-10-15,2020-10-16,1,0.005800361968600898
AAPL-MSFT,-1,2020-10-23,2020-10-26,3,-0.015464384163568545
AAPL-MSFT,-1,2020-11-02,2020-11-03,1,0.0012552211520526768
AAPL-MSFT,-1,2020-11-10,2020-11-11,1,-0.003249034069693013
AAPL-MSFT,-1,2020-11-18,2020-11-19,1,-0.0006099185684185215
AAPL-MSFT,-1,2020-11-27,2020-11-30,3,-0.014444624619308066
AAPL-MSFT,-1,2020-12-07,2020-12-08,1,0.00026770953388099983
AAPL-MSFT,-1,2020-12-15,2020-12-16,1,0.011099003051622924
AAPL-MSFT,-1,2020-12-23,2020-12-24,1,-0.0011425306068558738
PG-TGT,1,2020-08-19,2020-10-01,43,-0.003560970959730292
PG-TGT,1,2020-10-08,2020-11-19,42,-0.03697362793402814
PG-TGT,1,2020-11-27,2020-11-30,3,0.0004054983685306546
PG-TGT,1,2020-12-07,2020-12-08,1,0.0006932274559954266
PG-TGT,1,2020-12-15,2020-12-16,1,0.00025183041217236024
PG-TGT,1,2020-12-23,2020-12-24,1,0.0030605469099573845
AAPL-NVDA,1,2020-07-07,2020-08-18,42,-0.003335752842565376
AAPL-NVDA,1,2020-08-25,2020-09-29,35,-0.0655679561959408
AAPL-NVDA,1,2020-10-06,2020-10-07,1,-0.0009972852865343107
AAPL-NVDA,1,2020-10-14,2020-10-15,1,0.0012626480659068129
AAPL-NVDA,1,2020-10-22,2020-10-23,1,-0.012845811044096545
AAPL-NVDA,1,2020-10-30,2020-11-03,4,-0.013213733808861039
AAPL-NVDA,1,2020-11-10,2020-12-23,43,0.050410337233982805
BAC-JPM,1,2021-01-13,2021-02-26,44,-0.0057135450451507586
BAC-JPM,-1,2021-04-14,2021-05-26,42,0.005923863328670453
BAC-JPM,-1,2021-06-03,2021-07-02,29,-0.005494667247384233
PG-WMT,1,2021-01-22,2021-03-03,40,0.038851529951521746
GOOGL-META,-1,2021-02-03,2021-03-18,43,0.030531581314495515
GOOGL-META,-1,2021-03-25,2021-05-07,43,-0.006213013351611174
GOOGL-META,-1,2021-05-14,2021-06-28,45,0.02216549315147942
CVX-XOM,1,2021-02-08,2021-03-23,43,0.021144201637530946
CVX-XOM,1,2021-05-07,2021-06-21,45,-0.022506684843906166
CVX-XOM,1,2021-06-28,2021-07-02,4,0.007490492229622614
TGT-WMT,-1,2021-01-05,2021-02-18,44,-0.06138074824417605
TGT-WMT,-1,2021-02-25,2021-03-26,29,-0.031143848283736508
TGT-WMT,-1,2021-04-05,2021-04-06,1,0.0010077317732584135
TGT-WMT,-1,2021-04-13,2021-04-14,1,-0.003258060771337834
TGT-WMT,-1,2021-04-21,2021-04-22,1,-0.0037160719860918068
TGT-WMT,-1,2021-04-29,2021-04-30,1,9.211524815055938e-05
TGT-WMT,-1,2021-05-07,2021-05-10,3,0.002594593241696641
TGT-WMT,-1,2021-05-17,2021-05-18,1,0.016622319341017544
TGT-WMT,-1,2021-05-25,2021-05-26,1,-0.005813909882893653
TGT-WMT,-1,2021-06-03,2021-06-04,1,-0.00502981082953724
TGT-WMT,-1,2021-06-11,2021-06-14,3,-0.0021541343506684685
TGT-WMT,-1,2021-06-21,2021-06-22,1,-0.006248319171367922
TGT-WMT,-1,2021-06-29,2021-06-30,1,0.012574375834957019
AAPL-MSFT,-1,2021-01-21,2021-03-05,43,0.0738522619817028
AAPL-NVDA,1,2021-04-15,2021-05-27,42,-0.018384941581173653
AAPL-NVDA,1,2021-06-04,2021-06-17,13,-0.008972541616496743
AAPL-NVDA,1,2021-06-24,2021-06-25,1,0.002218653188493791
BAC-JPM,-1,2021-10-14,2021-11-03,20,-0.015433412281930958
BAC-JPM,-1,2021-11-10,2021-11-16,6,-0.006432093441692266
BAC-JPM,-1,2021-11-23,2021-11-24,1,-0.0064903203312584035
BAC-JPM,-1,2021-12-02,2021-12-31,29,-0.0060117492177999
PG-WMT,-1,2021-11-16,2021-12-06,20,-0.03235252372181252
PG-WMT,-1,2021-12-13,2021-12-16,3,-0.012810572032327383
PG-WMT,-1,2021-12-23,2021-12-27,4,-0.0024878438499468247
GOOGL-META,-1,2021-08-24,2021-10-06,43,-0.03256831456858689
GOOGL-META,-1,2021-10-13,2021-10-27,14,-0.050347705040945434
GOOGL-META,-1,2021-11-03,2021-12-16,43,0.011914635711494759
GOOGL-META,-1,2021-12-23,2021-12-31,8,0.007788418390845653
AAPL-NVDA,1,2021-07-07,2021-08-18,42,0.03602080659386875
AAPL-NVDA,1,2021-08-25,2021-08-27,2,-0.009981900070298533
AAPL-NVDA,1,2021-09-03,2021-09-10,7,-0.01079042567441546
AAPL-NVDA,1,2021-09-17,2021-09-23,6,-0.01227218376533279
AAPL-NVDA,1,2021-09-30,2021-10-18,18,-0.019966572651574865
AAPL-NVDA,1,2021-10-25,2021-10-26,1,-0.03238842425723176
AAPL-NVDA,1,2021-11-02,2021-11-03,1,-3.134082159039764e-05
AAPL-NVDA,1,2021-11-10,2021-11-11,1,-0.017170664406661373
AAPL-NVDA,1,2021-11-18,2021-11-19,1,-0.01339066503093267
AAPL-NVDA,1,2021-11-29,2021-11-30,1,0.025075396577058706
AAPL-NVDA,1,2021-12-07,2021-12-08,1,0.019458376555814727
AAPL-NVDA,1,2021-12-15,2021-12-16,1,0.01318122565478963
AAPL-NVDA,1,2021-12-23,2021-12-27,4,-0.011726723248079995
AAPL-MSFT,1,2021-10-27,2021-12-06,40,0.04748494951285487
TGT-WMT,-1,2021-07-07,2021-08-18,42,0.03092825788596354
TGT-WMT,-1,2021-08-25,2021-10-07,43,0.008866113501506012
TGT-WMT,-1,2021-10-14,2021-11-26,43,0.003572262131274151
TGT-WMT,-1,2021-12-03,2021-12-31,28,0.060224693178416944
PG-WMT,-1,2022-01-04,2022-02-16,43,-0.018101585511600682
PG-WMT,-1,2022-02-24,2022-04-07,42,0.05337940582739398
